"","Network","NoOrder","MR","Krisk","Kdegree","Degree","eigenc"
"58","PL_058",0.796296296296296,0.416766228594186,0.550975706889685,0.558542413381123,0.568498606133015,0.577260055754679
"59","PL_059",0.792899408284024,0.363905325443787,0.357988165680473,0.363905325443787,0.363905325443787,0.375739644970414
"60","SD_001",0.812925170068027,0.459183673469388,0.547619047619048,0.513605442176871,0.523809523809524,0.506802721088435
"61","SD_002",0.672043010752688,0.5,0.484126984126984,0.5,0.484126984126984,0.5
"62","SD_003",0.615416666666667,0.305059523809524,0.328869047619048,0.316576086956522,0.30570652173913,0.316576086956522
"63","SD_004",0.644117647058823,0.212096774193548,0.236290322580645,0.239516129032258,0.234677419354839,0.24758064516129
"64","SD_005",0.549230769230769,0.265567765567766,0.360805860805861,0.353479853479854,0.272893772893773,0.397435897435897
"65","SD_006",0.605714285714286,0.307843137254902,0.350980392156863,0.347058823529412,0.347058823529412,0.358823529411765
"66","SD_007",0.52025007185973,0.252834467120181,0.252834467120181,0.252834467120181,0.252834467120181,0.252834467120181
"67","SD_008",0.79375,0.6875,0.6875,0.7125,0.7125,0.71875
"68","SD_009",0.805555555555556,0.416666666666667,0.543650793650794,0.503968253968254,0.543650793650793,0.638888888888889
"69","SD_010",0.741428571428571,0.492857142857143,0.498571428571429,0.527142857142857,0.512857142857143,0.531428571428572
"70","SD_011",0.704545454545455,0.528571428571428,0.592857142857143,0.542207792207792,0.558441558441559,0.542207792207792
"71","SD_012",0.722167487684729,0.391163793103448,0.413793103448276,0.432112068965517,0.432112068965517,0.433189655172414
"72","SD_013",0.753529657477026,0.483458646616541,0.562865497076023,0.675438596491228,0.589181286549707,0.646198830409357
"73","SD_014",0.810661764705882,0.522058823529412,0.551470588235294,0.540441176470588,0.544117647058824,0.540441176470588
"74","SD_015",0.922222222222222,0.744444444444444,0.862962962962963,0.862962962962963,0.862962962962963,0.855555555555556
"75","SD_016",0.942281420765027,0.631830601092896,0.681693989071038,0.683060109289617,0.682035519125683,0.687158469945355
"76","SD_017",0.7109375,0.640625,0.671875,0.6875,0.65625,0.6875
"77","SD_018",0.615301724137931,0.341346153846154,0.565504807692308,0.480769230769231,0.456730769230769,0.536057692307692
"78","SD_019",0.68054117357002,0.318506493506494,0.344318181818182,0.360227272727273,0.353652597402597,0.384902597402597
