"Network","giant_component","NoOrder","krisk","degree","kdegree","eigenc","best"
"M_SD_020.csv",58,25,8,10,10,10,8
"M_SD_021.csv",46,19,9,10,10,10,9
"M_SD_022.csv",317,114,39,50,53,60,39
"M_SD_023.csv",23,10,4,4,4,4,4
"M_SD_024.csv",19,6,5,6,7,8,5
"M_SD_025.csv",13,7,4,4,4,4,4
"M_SD_026.csv",6,2,2,2,2,2,2
"M_SD_027.csv",16,7,3,3,3,3,3
"M_SD_028.csv",13,6,3,3,3,3,3
"M_SD_029.csv",9,5,2,2,2,2,2
"M_SD_030.csv",9,4,2,3,2,2,2
"M_PL_001.csv",177,68,22,23,22,23,22
"M_PL_002.csv",103,33,14,13,13,15,13
"M_PL_003.csv",61,12,5,5,6,6,5
"M_PL_004.csv",112,54,3,3,3,3,3
"M_PL_005.csv",361,124,25,30,36,42,25
"M_PL_006.csv",78,28,3,3,3,3,3
"M_PL_007.csv",50,13,5,4,4,4,4
"M_PL_008.csv",49,21,6,7,7,11,6
"M_PL_009.csv",142,51,7,7,8,12,7
"M_PL_010.csv",107,50,24,29,29,32,24
"M_PL_011.csv",27,13,4,4,6,6,4
"M_PL_012.csv",84,25,7,7,7,7,7
"M_PL_013.csv",65,18,4,4,4,5,4
"M_PL_014.csv",108,48,6,5,5,6,5
"M_PL_015.csv",793,273,48,56,60,87,48
"M_PL_016.csv",205,49,9,9,10,17,9
"M_PL_017.csv",104,45,9,10,11,11,9
"M_PL_018.csv",144,55,18,19,23,24,18
"M_PL_019.csv",123,43,14,16,16,18,14
"M_PL_020.csv",109,40,3,3,3,3,3
"M_PL_021.csv",766,141,12,12,12,38,12
"M_PL_022.csv",66,17,4,4,4,4,4
"M_PL_023.csv",90,29,3,3,3,3,3
"M_PL_024.csv",22,9,4,3,3,3,3
"M_PL_025.csv",57,15,6,6,6,10,6
"M_PL_026.csv",150,57,2,2,2,2,2
"M_PL_027.csv",75,30,8,8,9,11,8
"M_PL_028.csv",180,73,13,14,16,24,13
"M_PL_029.csv",167,69,17,17,17,19,17
"M_PL_030.csv",70,25,10,7,7,13,7
"M_PL_031.csv",91,26,10,8,13,17,8
"M_PL_032.csv",40,5,2,2,2,2,2
"M_PL_033.csv",47,23,9,8,10,12,8
"M_PL_034.csv",151,64,6,7,8,9,6
"M_PL_035.csv",97,27,9,9,9,9,9
"M_PL_036.csv",22,7,2,2,2,2,2
